[STREAM] WebSocket server on ws://localhost:8089
[TWS] Connecting to TWS...
[TWS] Connected
[TWS] Using DELAYED
[TWS] Subscribed to T (reqId: 1000)
[TWS] Subscribed to SOFI (reqId: 1001)
[TWS] Subscribed to F (reqId: 1002)
[TWS] Subscribed to NU (reqId: 1003)
[TWS] Error 10167: Error: Requested market data is not subscribed. Displaying delayed market data.
[TICK] SOFI type=68 price=21.06
[TICK] SOFI type=72 price=21.76
[TICK] SOFI type=73 price=20.81
[TICK] SOFI type=75 price=21.76
[TICK] SOFI type=76 price=21.5
[TICK] T type=68 price=27.23
[TICK] T type=76 price=27.26
[TICK] T type=72 price=27.32
[TICK] T type=73 price=26.89
[TICK] T type=75 price=26.83
[TICK] F type=76 price=13.8
[TICK] F type=68 price=13.97
[TICK] F type=72 price=14
[TICK] F type=73 price=13.69
[TICK] F type=75 price=13.73
[TICK] NU type=68 price=17.34
[TICK] NU type=72 price=18.17
[TICK] NU type=73 price=17.07
[TICK] NU type=75 price=18.12
[TICK] NU type=76 price=18.08
[TICK] SOFI type=68 price=21.04
[TICK] NU type=68 price=17.33
[TICK] T type=68 price=27.24
[TICK] SOFI type=68 price=21.02
[TICK] T type=68 price=27.23
[TICK] F type=68 price=13.96
[TICK] NU type=68 price=17.31
[TICK] F type=68 price=13.97
[TICK] SOFI type=68 price=21.01
[TICK] T type=68 price=27.25
[TICK] SOFI type=68 price=20.98
[TICK] F type=68 price=13.96
[TICK] T type=68 price=27.24
[TICK] T type=68 price=27.25
[TICK] F type=68 price=13.98
[TICK] F type=68 price=13.97
[TICK] SOFI type=68 price=21
[TICK] SOFI type=68 price=21.01
[TICK] F type=68 price=13.98
[TICK] T type=68 price=27.24
[TICK] SOFI type=68 price=20.99
[TICK] F type=68 price=13.97
[TICK] SOFI type=68 price=20.98
[TICK] NU type=68 price=17.3
[TICK] SOFI type=68 price=20.95
[TICK] T type=68 price=27.23
[TICK] T type=68 price=27.24
[TICK] NU type=68 price=17.26
[TICK] SOFI type=68 price=20.94
[TICK] NU type=68 price=17.25
[TICK] SOFI type=68 price=20.92
[TICK] F type=68 price=13.95
[TICK] T type=68 price=27.25
[TICK] F type=68 price=13.94
[TICK] SOFI type=68 price=20.89
[TICK] SOFI type=68 price=20.88
[TICK] SOFI type=68 price=20.89
[TICK] NU type=68 price=17.26
[TICK] SOFI type=68 price=20.9
[TICK] NU type=68 price=17.27
[TICK] SOFI type=68 price=20.89
[TICK] SOFI type=68 price=20.86
[TICK] SOFI type=68 price=20.87
[TICK] SOFI type=68 price=20.83
[TICK] T type=68 price=27.24
[TICK] SOFI type=68 price=20.84
[TICK] NU type=68 price=17.28
[TICK] SOFI type=68 price=20.83
[TICK] T type=68 price=27.25
[TICK] T type=68 price=27.26
[TICK] SOFI type=68 price=20.81
[TICK] F type=68 price=13.93
[TICK] NU type=68 price=17.27
[TICK] F type=68 price=13.94
[TICK] NU type=68 price=17.28
[TICK] SOFI type=68 price=20.82
[TICK] NU type=68 price=17.29
[TICK] SOFI type=73 price=20.79
[TICK] T type=68 price=27.28
[TICK] NU type=68 price=17.3
[TICK] SOFI type=68 price=20.81
[TICK] SOFI type=68 price=20.8
[TICK] T type=68 price=27.29
[TICK] NU type=68 price=17.28
[TICK] SOFI type=68 price=20.79
[TICK] T type=68 price=27.28
[TICK] SOFI type=68 price=20.82
[TICK] T type=68 price=27.27
[TICK] SOFI type=68 price=20.83
[TICK] T type=68 price=27.28
[TICK] NU type=68 price=17.3
[TICK] T type=68 price=27.27
[TICK] SOFI type=68 price=20.88
[TICK] NU type=68 price=17.32
[TICK] T type=68 price=27.26
[TICK] T type=68 price=27.25
[TICK] SOFI type=68 price=20.87
[TICK] SOFI type=68 price=20.86
[TICK] T type=68 price=27.26
[TICK] NU type=68 price=17.31
[TICK] T type=68 price=27.25
[TICK] T type=68 price=27.24
[TICK] SOFI type=68 price=20.84
[TICK] T type=68 price=27.23
[TICK] SOFI type=68 price=20.83
[TICK] SOFI type=68 price=20.82
[TICK] NU type=68 price=17.3
[TICK] NU type=68 price=17.31
[TICK] T type=68 price=27.19
[TICK] SOFI type=68 price=20.81
[TICK] SOFI type=68 price=20.83
[TICK] T type=68 price=27.2
[TICK] SOFI type=68 price=20.81
[TICK] T type=68 price=27.19
[TICK] SOFI type=68 price=20.8
[TICK] NU type=68 price=17.29
[TICK] SOFI type=73 price=20.78
[TICK] SOFI type=73 price=20.77
[TICK] SOFI type=68 price=20.78
[TICK] NU type=68 price=17.3
[TICK] T type=68 price=27.2
[TICK] T type=68 price=27.18
[TICK] F type=68 price=13.93
[TICK] NU type=68 price=17.29
[TICK] T type=68 price=27.17
[TICK] NU type=68 price=17.3
[TICK] T type=68 price=27.18
[TICK] SOFI type=73 price=20.76
[TICK] SOFI type=73 price=20.75
[TICK] NU type=68 price=17.27
[TICK] SOFI type=68 price=20.77
[TICK] F type=68 price=13.92
[TICK] NU type=68 price=17.28
[TICK] SOFI type=68 price=20.75
[TICK] SOFI type=73 price=20.74
[TICK] F type=68 price=13.93
[TICK] SOFI type=68 price=20.77
[TICK] T type=68 price=27.19
[TICK] SOFI type=68 price=20.76
[TICK] SOFI type=68 price=20.77
[TICK] NU type=68 price=17.31
[TICK] SOFI type=68 price=20.8
[TICK] F type=68 price=13.91
[TICK] SOFI type=68 price=20.77
[TICK] SOFI type=68 price=20.76
[TICK] T type=68 price=27.2
[TICK] SOFI type=68 price=20.77
[TICK] F type=68 price=13.92
[TICK] NU type=68 price=17.3
[TICK] T type=68 price=27.19
[TICK] F type=68 price=13.93
[TICK] SOFI type=68 price=20.76
[TICK] NU type=68 price=17.31
[TICK] SOFI type=68 price=20.75
[TICK] T type=68 price=27.17
[TICK] SOFI type=73 price=20.73
[TICK] SOFI type=73 price=20.72
[TICK] SOFI type=68 price=20.73
[TICK] NU type=68 price=17.35
[TICK] SOFI type=68 price=20.78
[TICK] F type=68 price=13.94
[TICK] SOFI type=68 price=20.85
[TICK] NU type=68 price=17.36
[TICK] SOFI type=68 price=20.84
[TICK] NU type=68 price=17.33
[TICK] T type=68 price=27.16
[TICK] NU type=68 price=17.34
[TICK] T type=68 price=27.18
[TICK] SOFI type=68 price=20.83
[TICK] F type=68 price=13.93
[TICK] NU type=68 price=17.35
[TICK] T type=68 price=27.17
[TICK] SOFI type=68 price=20.84
[TICK] NU type=68 price=17.32
[TICK] F type=68 price=13.92
[TICK] SOFI type=68 price=20.83
[TICK] SOFI type=68 price=20.81
[TICK] NU type=68 price=17.33
[TICK] SOFI type=68 price=20.82
[TICK] SOFI type=68 price=20.81
[TICK] NU type=68 price=17.32
[TICK] F type=68 price=13.91
[TICK] SOFI type=68 price=20.78
[TICK] SOFI type=68 price=20.75
[TICK] NU type=68 price=17.33
[TICK] T type=68 price=27.15
[TICK] SOFI type=68 price=20.77
[TICK] SOFI type=68 price=20.75
[TICK] T type=68 price=27.14
[TICK] F type=68 price=13.92
[TICK] F type=68 price=13.91
[TICK] SOFI type=68 price=20.74
[TICK] SOFI type=68 price=20.75
[TICK] SOFI type=68 price=20.78
[TICK] T type=68 price=27.15
[TICK] SOFI type=68 price=20.8
[TICK] NU type=68 price=17.32
[TICK] SOFI type=68 price=20.82
[TICK] T type=68 price=27.16
[TICK] NU type=68 price=17.31
[TICK] SOFI type=68 price=20.84
[TICK] SOFI type=68 price=20.8
[TICK] NU type=68 price=17.32
[TICK] T type=68 price=27.15
[TICK] SOFI type=68 price=20.75
[TICK] F type=68 price=13.92
[TICK] T type=68 price=27.17
[TICK] SOFI type=68 price=20.74
[TICK] F type=68 price=13.91
[TICK] NU type=68 price=17.3
[TICK] SOFI type=68 price=20.77
[TICK] SOFI type=68 price=20.75
[TICK] NU type=68 price=17.29
[TICK] T type=68 price=27.18
[TICK] NU type=68 price=17.28
[TICK] SOFI type=68 price=20.74
[TICK] NU type=68 price=17.29
[TICK] NU type=68 price=17.28
[TICK] F type=68 price=13.92
[TICK] T type=68 price=27.19
[TICK] SOFI type=68 price=20.73
[TICK] F type=68 price=13.91
[TICK] T type=68 price=27.18
[TICK] T type=68 price=27.19
[TICK] SOFI type=68 price=20.74
[TICK] F type=68 price=13.92
[TICK] SOFI type=68 price=20.73
[TICK] SOFI type=73 price=20.69
[TICK] F type=68 price=13.91
[TICK] T type=68 price=27.22
[TICK] SOFI type=68 price=20.7
[TICK] NU type=68 price=17.3
[TICK] NU type=68 price=17.29
[TICK] SOFI type=68 price=20.71
[TICK] NU type=68 price=17.28
[TICK] T type=68 price=27.23
[TICK] SOFI type=68 price=20.72
[TICK] T type=68 price=27.22
[TICK] SOFI type=68 price=20.71
[TICK] NU type=68 price=17.27
[TICK] SOFI type=68 price=20.7
[TICK] NU type=68 price=17.26
[TICK] SOFI type=73 price=20.68
[TICK] T type=68 price=27.2
[TICK] F type=68 price=13.92
[TICK] SOFI type=68 price=20.69
[TICK] SOFI type=73 price=20.67
[TICK] T type=68 price=27.22
[TICK] T type=68 price=27.19
[TICK] F type=68 price=13.93
[TICK] SOFI type=68 price=20.68
[TICK] SOFI type=68 price=20.73
[TICK] SOFI type=68 price=20.72
[TICK] SOFI type=68 price=20.7
[TICK] NU type=68 price=17.27
[TICK] SOFI type=68 price=20.71
[TICK] SOFI type=68 price=20.69
[TICK] NU type=68 price=17.26
[TICK] T type=68 price=27.2
[TICK] F type=68 price=13.92
[TICK] F type=68 price=13.91
[TICK] T type=68 price=27.19
[TICK] SOFI type=68 price=20.67
[TICK] NU type=68 price=17.25
[TICK] SOFI type=73 price=20.65
[TICK] T type=68 price=27.2
[TICK] T type=68 price=27.19
[TICK] F type=68 price=13.9
[TICK] NU type=68 price=17.23
[TICK] SOFI type=68 price=20.66
[TICK] SOFI type=73 price=20.64
[TICK] NU type=68 price=17.24
[TICK] T type=68 price=27.2
[TICK] SOFI type=68 price=20.65
[TICK] NU type=68 price=17.25
[TICK] SOFI type=68 price=20.67
[TICK] NU type=68 price=17.26
[TICK] T type=68 price=27.21
[TICK] F type=68 price=13.89
[TICK] T type=68 price=27.2
[TICK] SOFI type=68 price=20.68
[TICK] NU type=68 price=17.27
[TICK] F type=68 price=13.9
[TICK] SOFI type=68 price=20.69
[TICK] NU type=68 price=17.28
[TICK] SOFI type=68 price=20.68
[TICK] T type=68 price=27.18
[TICK] F type=68 price=13.91
[TICK] SOFI type=68 price=20.73
[TICK] NU type=68 price=17.31
[TICK] T type=68 price=27.19
[TICK] F type=68 price=13.9
[TICK] T type=68 price=27.18
[TICK] F type=68 price=13.91
[TICK] SOFI type=68 price=20.75
[TICK] F type=68 price=13.9
[TICK] F type=68 price=13.91
[TICK] T type=68 price=27.17
[TICK] F type=68 price=13.92
[TICK] NU type=68 price=17.32
[TICK] F type=68 price=13.91
[TICK] NU type=68 price=17.31
[TICK] F type=68 price=13.92
[TICK] SOFI type=68 price=20.76
[TICK] NU type=68 price=17.33
[TICK] SOFI type=68 price=20.77
[TICK] NU type=68 price=17.32
[TICK] SOFI type=68 price=20.78
[TICK] F type=68 price=13.91
[TICK] NU type=68 price=17.33
[TICK] F type=68 price=13.9
[TICK] SOFI type=68 price=20.76
[TICK] NU type=68 price=17.32
[TICK] SOFI type=68 price=20.75
[TICK] F type=68 price=13.91
[TICK] NU type=68 price=17.33
[TICK] T type=68 price=27.18
[TICK] SOFI type=68 price=20.77
[TICK] F type=68 price=13.92
[TICK] SOFI type=68 price=20.75
[TICK] T type=68 price=27.19
[TICK] F type=68 price=13.91
[TICK] SOFI type=68 price=20.76
[TICK] T type=68 price=27.18
[TICK] NU type=68 price=17.34
[TICK] F type=68 price=13.92
[TICK] SOFI type=68 price=20.81
[TICK] T type=68 price=27.19
[TICK] F type=68 price=13.93
[TICK] SOFI type=68 price=20.83
[TICK] NU type=68 price=17.35
[TICK] T type=68 price=27.18
[TICK] NU type=68 price=17.36
[TICK] F type=68 price=13.94
[TICK] SOFI type=68 price=20.85
[TICK] NU type=68 price=17.33
[TICK] F type=68 price=13.93
[TICK] SOFI type=68 price=20.8
[TICK] F type=68 price=13.94
[TICK] SOFI type=68 price=20.83
[TICK] T type=68 price=27.19
[TICK] SOFI type=68 price=20.84
[TICK] NU type=68 price=17.35
[TICK] SOFI type=68 price=20.86
[TICK] T type=68 price=27.21
[TICK] SOFI type=68 price=20.84
[TICK] F type=68 price=13.93
[TICK] NU type=68 price=17.34
[TICK] T type=68 price=27.2
[TICK] SOFI type=68 price=20.83
[TICK] F type=68 price=13.94
[TICK] T type=68 price=27.21
[TICK] T type=68 price=27.2
[TICK] NU type=68 price=17.33
[TICK] SOFI type=68 price=20.81
[TICK] NU type=68 price=17.34
[TICK] T type=68 price=27.19
[TICK] SOFI type=68 price=20.82
[TICK] SOFI type=68 price=20.81
[TICK] SOFI type=68 price=20.78
[TICK] SOFI type=68 price=20.8
[TICK] T type=68 price=27.21
[TICK] T type=68 price=27.22
[TICK] SOFI type=68 price=20.81
[TICK] F type=68 price=13.95
[TICK] NU type=68 price=17.36
[TICK] NU type=68 price=17.35
[TICK] SOFI type=68 price=20.8
[TICK] NU type=68 price=17.36
[TICK] NU type=68 price=17.35
[TICK] SOFI type=68 price=20.82
[TICK] NU type=68 price=17.36
[TICK] SOFI type=68 price=20.83
[TICK] NU type=68 price=17.34
[TICK] T type=68 price=27.23
[TICK] SOFI type=68 price=20.8
[TICK] SOFI type=68 price=20.78
[TICK] T type=68 price=27.22
[TICK] NU type=68 price=17.33
[TICK] SOFI type=68 price=20.8
[TICK] T type=68 price=27.23
[TICK] SOFI type=68 price=20.81
[TICK] NU type=68 price=17.32
[TICK] SOFI type=68 price=20.8
[TICK] NU type=68 price=17.33
[TICK] SOFI type=68 price=20.81
[TICK] F type=68 price=13.96
[TICK] T type=68 price=27.22
[TICK] NU type=68 price=17.32
[TICK] T type=68 price=27.23
[TICK] SOFI type=68 price=20.82
[TICK] F type=68 price=13.95
[TICK] F type=68 price=13.96
[TICK] NU type=68 price=17.31
[TICK] SOFI type=68 price=20.81
[TICK] SOFI type=68 price=20.8
[TICK] NU type=68 price=17.32
[TICK] SOFI type=68 price=20.81
[TICK] F type=68 price=13.95
[TICK] T type=68 price=27.24
[TICK] SOFI type=68 price=20.82
[TICK] NU type=68 price=17.31
[TICK] F type=68 price=13.96
[TICK] SOFI type=68 price=20.83
[TICK] SOFI type=68 price=20.82
[TICK] F type=68 price=13.95
[TICK] T type=68 price=27.23
[TICK] SOFI type=68 price=20.81
[TICK] T type=68 price=27.24
[TICK] F type=68 price=13.94
[TICK] SOFI type=68 price=20.8
[TICK] T type=68 price=27.25
[TICK] F type=68 price=13.95
[TICK] SOFI type=68 price=20.78
[TICK] T type=68 price=27.24
[TICK] F type=68 price=13.94
[TICK] SOFI type=68 price=20.79
[TICK] NU type=68 price=17.3
[TICK] SOFI type=68 price=20.76
[TICK] SOFI type=68 price=20.73
[TICK] NU type=68 price=17.26
[TICK] T type=68 price=27.23
[TICK] NU type=68 price=17.27
[TICK] T type=68 price=27.24
[TICK] SOFI type=68 price=20.75
[TICK] NU type=68 price=17.26
[TICK] SOFI type=68 price=20.72
[TICK] NU type=68 price=17.25
[TICK] T type=68 price=27.23
[TICK] NU type=68 price=17.24
[TICK] T type=68 price=27.24
[TICK] SOFI type=68 price=20.7
[TICK] NU type=68 price=17.26
[TICK] SOFI type=68 price=20.72
[TICK] NU type=68 price=17.25
[TICK] T type=68 price=27.23
[TICK] SOFI type=68 price=20.68
[TICK] NU type=68 price=17.24
[TICK] F type=68 price=13.93
[TICK] NU type=68 price=17.25
[TICK] F type=68 price=13.95
[TICK] SOFI type=68 price=20.7
[TICK] T type=68 price=27.24
[TICK] F type=68 price=13.94
[TICK] T type=68 price=27.25
[TICK] SOFI type=68 price=20.69
[TICK] SOFI type=68 price=20.71
[TICK] NU type=68 price=17.23
[TICK] SOFI type=68 price=20.69
[TICK] NU type=68 price=17.24
[TICK] SOFI type=68 price=20.67
[TICK] T type=68 price=27.24
[TICK] NU type=68 price=17.23
[TICK] F type=68 price=13.93
[TICK] SOFI type=68 price=20.66
[TICK] F type=68 price=13.94
[TICK] NU type=68 price=17.22
[TICK] T type=68 price=27.23
[TICK] SOFI type=68 price=20.64
[TICK] SOFI type=73 price=20.63
[TICK] NU type=68 price=17.24
[TICK] SOFI type=68 price=20.65
[TICK] SOFI type=73 price=20.62
